epoch,;train/box_loss,;train/obj_loss,;train/cls_loss,;metrics/precision,;metrics/recall,;metrics/mAP_0.5,;metrics/mAP_0.5:0.95,;val/box_loss,;val/obj_loss,;val/cls_loss,;x/lr0,;x/lr1,;x/lr2
564;0.01648,;0.0056967,;0;0.93831,;0.88826,;0.93016,;0.56623,;0.02824,;0.0077512,;0;0.0007105,;0.0007105,;0.0007105
565;0.016253,;0.0056721,;0;0.936,;0.88889,;0.93042,;0.56653,;0.028236,;0.0077549,;0;0.000694,;0.000694,;0.000694
566;0.015914,;0.0056578,;0;0.93599,;0.88889,;0.93015,;0.56655,;0.028244,;0.0077606,;0;0.0006775,;0.0006775,;0.0006775
567;0.01583,;0.0057687,;0;0.93571,;0.88889,;0.93013,;0.56622,;0.028242,;0.0077655,;0;0.000661,;0.000661,;0.000661
568;0.015756,;0.0057362,;0;0.93465,;0.88889,;0.93008,;0.56637,;0.028235,;0.0077696,;0;0.0006445,;0.0006445,;0.0006445
569;0.016375,;0.0056745,;0;0.93357,;0.88901,;0.93002,;0.56714,;0.028228,;0.0077728,;0;0.000628,;0.000628,;0.000628
570;0.015955,;0.0056484,;0;0.93351,;0.88819,;0.92957,;0.56738,;0.028228,;0.0077796,;0;0.0006115,;0.0006115,;0.0006115
571;0.015951,;0.0058836,;0;0.93366,;0.88808,;0.92922,;0.56729,;0.028232,;0.0077859,;0;0.000595,;0.000595,;0.000595
572;0.01591,;0.0057638,;0;0.93388,;0.88808,;0.92928,;0.56699,;0.028226,;0.0077843,;0;0.0005785,;0.0005785,;0.0005785
573;0.016209,;0.0056715,;0;0.93443,;0.88808,;0.92939,;0.56698,;0.028226,;0.0077876,;0;0.000562,;0.000562,;0.000562
574;0.01578,;0.0056629,;0;0.93452,;0.88808,;0.92933,;0.56659,;0.028223,;0.0077923,;0;0.0005455,;0.0005455,;0.0005455
575;0.016394,;0.005811,;0;0.93445,;0.88808,;0.92898,;0.56693,;0.028224,;0.0077943,;0;0.000529,;0.000529,;0.000529
576;0.015769,;0.0057585,;0;0.93408,;0.88808,;0.92865,;0.56655,;0.028217,;0.007798,;0;0.0005125,;0.0005125,;0.0005125
577;0.015462,;0.0057322,;0;0.93464,;0.88808,;0.92806,;0.56621,;0.028224,;0.0078008,;0;0.000496,;0.000496,;0.000496
578;0.015854,;0.005737,;0;0.93471,;0.88808,;0.92804,;0.56578,;0.028216,;0.007805,;0;0.0004795,;0.0004795,;0.0004795
579;0.015697,;0.0058634,;0;0.936,;0.88959,;0.92887,;0.56668,;0.028211,;0.0078064,;0;0.000463,;0.000463,;0.000463
580;0.015594,;0.0056963,;0;0.93514,;0.8897,;0.92894,;0.56602,;0.0282,;0.0078097,;0;0.0004465,;0.0004465,;0.0004465
