               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11208,            0.026199,            0.047751,             0.18377,            0.010417,           0.0049329,          0.00098444,            0.094814,            0.021054,            0.043192,            0.003295,            0.003295,            0.070345
                   1,            0.080652,            0.021807,            0.041333,             0.24145,              0.2213,            0.056712,            0.012222,            0.079153,            0.016502,            0.038517,            0.004441,            0.004441,            0.038157
                   2,            0.069543,            0.019256,            0.036559,              0.3101,             0.21613,             0.12253,            0.030005,            0.062036,            0.014316,            0.036226,            0.003387,            0.003387,           0.0037701
