               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.03359,             0.01017,                   0,             0.91189,             0.78905,             0.86119,             0.42299,            0.036538,           0.0086844,                   0,           0.0093895,           0.0093895,           0.0093895
                  39,            0.034601,            0.010203,                   0,             0.92946,             0.79968,             0.87274,             0.42633,             0.03679,           0.0083601,                   0,            0.009373,            0.009373,            0.009373
                  40,            0.033617,            0.010105,                   0,             0.90721,             0.80883,             0.87396,             0.42037,            0.036268,           0.0083203,                   0,           0.0093565,           0.0093565,           0.0093565
                  41,            0.033937,             0.00998,                   0,             0.90216,             0.80049,             0.86753,             0.43364,            0.035301,           0.0082519,                   0,             0.00934,             0.00934,             0.00934
                  42,            0.033504,            0.010088,                   0,             0.89058,               0.794,             0.85633,             0.40116,            0.037761,           0.0084165,                   0,           0.0093235,           0.0093235,           0.0093235
                  43,            0.033519,            0.010222,                   0,             0.92525,             0.81312,             0.88285,             0.43883,            0.034844,           0.0080609,                   0,            0.009307,            0.009307,            0.009307
                  44,            0.033207,            0.010071,                   0,             0.91015,              0.8086,             0.87627,             0.43856,            0.035324,           0.0082365,                   0,           0.0092905,           0.0092905,           0.0092905
                  45,            0.032477,           0.0098895,                   0,             0.92788,             0.81265,             0.88524,             0.43743,            0.035387,           0.0082489,                   0,            0.009274,            0.009274,            0.009274
                  46,            0.033332,            0.009957,                   0,             0.92627,             0.80488,             0.88194,             0.44042,            0.035097,           0.0082487,                   0,           0.0092575,           0.0092575,           0.0092575
                  47,            0.032436,           0.0099591,                   0,             0.91529,             0.80941,             0.87233,             0.44117,            0.035253,           0.0082108,                   0,            0.009241,            0.009241,            0.009241
                  48,            0.032656,           0.0099952,                   0,             0.90611,             0.82184,             0.87518,              0.4377,             0.03588,           0.0082703,                   0,           0.0092245,           0.0092245,           0.0092245
                  49,            0.032924,           0.0099805,                   0,             0.90504,             0.83478,             0.88444,             0.45307,             0.03498,           0.0080713,                   0,            0.009208,            0.009208,            0.009208
                  50,            0.032578,           0.0099177,                   0,             0.90783,              0.8159,              0.8809,             0.44236,            0.035265,           0.0081613,                   0,           0.0091915,           0.0091915,           0.0091915
                  51,            0.032163,           0.0097967,                   0,             0.93038,             0.80206,              0.8762,             0.43872,            0.035477,           0.0080721,                   0,            0.009175,            0.009175,            0.009175
                  52,            0.031978,           0.0097704,                   0,             0.92463,             0.80438,             0.87954,             0.44614,             0.03489,            0.008415,                   0,           0.0091585,           0.0091585,           0.0091585
                  53,            0.032372,            0.009771,                   0,             0.93246,             0.81184,             0.88197,             0.45429,            0.034633,           0.0080542,                   0,            0.009142,            0.009142,            0.009142
                  54,            0.031698,           0.0097251,                   0,             0.93535,             0.83307,              0.8951,              0.4661,            0.033689,           0.0078821,                   0,           0.0091255,           0.0091255,           0.0091255
                  55,            0.032092,           0.0098728,                   0,             0.93115,             0.80925,             0.88029,              0.4468,            0.034744,           0.0081374,                   0,            0.009109,            0.009109,            0.009109
                  56,            0.031866,           0.0096078,                   0,             0.92503,             0.81509,             0.88222,             0.44956,            0.034479,           0.0080175,                   0,           0.0090925,           0.0090925,           0.0090925
                  57,            0.031587,           0.0097333,                   0,             0.93196,              0.8109,             0.88767,             0.46276,            0.034317,           0.0079247,                   0,            0.009076,            0.009076,            0.009076
                  58,            0.031041,           0.0096574,                   0,             0.92353,             0.82401,             0.88621,             0.44776,             0.03416,           0.0079018,                   0,           0.0090595,           0.0090595,           0.0090595
                  59,            0.031262,           0.0095753,                   0,              0.9197,             0.82076,             0.88053,             0.46159,            0.034567,           0.0078782,                   0,            0.009043,            0.009043,            0.009043
                  60,            0.031527,            0.009659,                   0,             0.92699,             0.82157,             0.88888,             0.46712,             0.03347,           0.0079313,                   0,           0.0090265,           0.0090265,           0.0090265
                  61,            0.031292,           0.0096228,                   0,             0.92683,             0.81157,             0.89021,             0.45164,            0.034224,           0.0080313,                   0,             0.00901,             0.00901,             0.00901
                  62,            0.030676,            0.009439,                   0,             0.90853,             0.81833,             0.87963,             0.45892,            0.034361,           0.0079772,                   0,           0.0089935,           0.0089935,           0.0089935
                  63,            0.031181,           0.0094906,                   0,             0.92348,             0.81346,             0.88831,             0.46368,            0.034022,           0.0079711,                   0,            0.008977,            0.008977,            0.008977
                  64,            0.030801,           0.0095142,                   0,             0.92608,              0.8128,             0.88318,             0.45675,             0.03394,           0.0077723,                   0,           0.0089605,           0.0089605,           0.0089605
                  65,            0.030763,           0.0094324,                   0,             0.92404,             0.82875,             0.88533,             0.46802,            0.033686,           0.0079291,                   0,            0.008944,            0.008944,            0.008944
                  66,            0.030729,           0.0095784,                   0,             0.93033,             0.81509,             0.88985,             0.46279,            0.033503,           0.0078314,                   0,           0.0089275,           0.0089275,           0.0089275
                  67,             0.03054,           0.0094824,                   0,             0.91306,             0.83536,             0.89111,              0.4751,            0.033067,           0.0078552,                   0,            0.008911,            0.008911,            0.008911
                  68,            0.029959,           0.0092867,                   0,             0.92947,             0.82482,             0.89225,             0.47358,            0.033557,           0.0077071,                   0,           0.0088945,           0.0088945,           0.0088945
                  69,            0.029901,           0.0093793,                   0,             0.92229,             0.82784,             0.89017,             0.47409,             0.03279,           0.0078131,                   0,            0.008878,            0.008878,            0.008878
