               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.028073,            0.018294,                   0,             0.94157,             0.85308,             0.91501,             0.50136,            0.032801,            0.018107,                   0,            0.014351,            0.014351,            0.014351
                  40,            0.027582,            0.017482,                   0,             0.94963,             0.87154,             0.93188,             0.50472,            0.032987,             0.01817,                   0,            0.014326,            0.014326,            0.014326
                  41,            0.027811,            0.017929,                   0,             0.94909,             0.86182,             0.92226,             0.49622,            0.033256,            0.018186,                   0,            0.014301,            0.014301,            0.014301
                  42,            0.027249,            0.017626,                   0,             0.94704,             0.84672,             0.91736,             0.49599,            0.033735,            0.018189,                   0,            0.014276,            0.014276,            0.014276
                  43,            0.027275,            0.017886,                   0,             0.94957,             0.84996,             0.91657,             0.49882,            0.032909,            0.018562,                   0,             0.01425,             0.01425,             0.01425
                  44,            0.027331,             0.01753,                   0,             0.93612,             0.85566,             0.92011,             0.50016,            0.032949,            0.018172,                   0,            0.014225,            0.014225,            0.014225
                  45,            0.027026,             0.01746,                   0,             0.93318,             0.87214,             0.93005,             0.49449,            0.033073,            0.018161,                   0,              0.0142,              0.0142,              0.0142
                  46,            0.026908,            0.017479,                   0,             0.95003,             0.85633,             0.92396,             0.50379,             0.03284,            0.018442,                   0,            0.014175,            0.014175,            0.014175
                  47,            0.026989,            0.017199,                   0,             0.94141,             0.84775,             0.91894,             0.49985,            0.033233,            0.018271,                   0,            0.014149,            0.014149,            0.014149
                  48,            0.026823,            0.017634,                   0,             0.95102,             0.86364,              0.9264,             0.51446,            0.032148,            0.017668,                   0,            0.014124,            0.014124,            0.014124
                  49,            0.026722,            0.017137,                   0,             0.94039,             0.86537,             0.92394,             0.50717,             0.03279,            0.017922,                   0,            0.014099,            0.014099,            0.014099
